date,year,temperature,min_temperature,max_temperature,season_year,season,day_in_season
1864-01-01,1864,-1.6,,,1864,1,1
1864-01-02,1864,-8.9,,,1864,1,2
1864-01-03,1864,-10.2,,,1864,1,3
1864-01-04,1864,-9.4,,,1864,1,4
1864-01-05,1864,-9.1,,,1864,1,5
1864-01-06,1864,-9.3,,,1864,1,6
1864-01-07,1864,-8.8,,,1864,1,7
1864-01-08,1864,-7.3,,,1864,1,8
1864-01-09,1864,-6.2,,,1864,1,9
1864-01-10,1864,-7.2,,,1864,1,10
1864-01-11,1864,-7.0,,,1864,1,11
1864-01-12,1864,-7.3,,,1864,1,12
1864-01-13,1864,-8.7,,,1864,1,13
1864-01-14,1864,-10.5,,,1864,1,14
1864-01-15,1864,-10.4,,,1864,1,15
1864-01-16,1864,-10.7,,,1864,1,16
1864-01-17,1864,-8.2,,,1864,1,17
1864-01-18,1864,-7.9,,,1864,1,18
1864-01-19,1864,-5.1,,,1864,1,19
1864-01-20,1864,-4.1,,,1864,1,20
1864-01-21,1864,-3.0,,,1864,1,21
1864-01-22,1864,0.7,,,1864,1,22
1864-01-23,1864,2.6,,,1864,1,23
1864-01-24,1864,7.1,,,1864,1,24
1864-01-25,1864,2.9,,,1864,1,25
1864-01-26,1864,1.5,,,1864,1,26
1864-01-27,1864,3.8,,,1864,1,27
1864-01-28,1864,5.7,,,1864,1,28
1864-01-29,1864,2.5,,,1864,1,29
1864-01-30,1864,-1.5,,,1864,1,30
1864-01-31,1864,-3.9,,,1864,1,31
1864-02-01,1864,-2.7,,,1864,1,32
1864-02-02,1864,-1.5,,,1864,1,33
1864-02-03,1864,-1.0,,,1864,1,34
1864-02-04,1864,1.2,,,1864,1,35
1864-02-05,1864,0.2,,,1864,1,36
1864-02-06,1864,-1.5,,,1864,1,37
1864-02-07,1864,-2.8,,,1864,1,38
1864-02-08,1864,-3.2,,,1864,1,39
1864-02-09,1864,-3.7,,,1864,1,40
1864-02-10,1864,-3.2,,,1864,1,41
1864-02-11,1864,-4.2,,,1864,1,42
1864-02-12,1864,-3.8,,,1864,1,43
1864-02-13,1864,5.1,,,1864,1,44
1864-02-14,1864,5.5,,,1864,1,45
1864-02-15,1864,4.6,,,1864,1,46
1864-02-16,1864,8.8,,,1864,1,47
1864-02-17,1864,3.9,,,1864,1,48
1864-02-18,1864,-0.4,,,1864,1,49
1864-02-19,1864,-3.4,,,1864,1,50
1864-02-20,1864,-3.5,,,1864,1,51
1864-02-21,1864,-1.6,,,1864,1,52
1864-02-22,1864,1.8,,,1864,1,53
1864-02-23,1864,0.2,,,1864,1,54
1864-02-24,1864,3.9,,,1864,1,55
1864-02-25,1864,5.1,,,1864,1,56
1864-02-26,1864,6.7,,,1864,1,57
1864-02-27,1864,5.4,,,1864,1,58
1864-02-28,1864,4.1,,,1864,1,59
1864-02-29,1864,3.6,,,1864,1,60
1864-03-01,1864,5.2,,,1864,2,1
1864-03-02,1864,4.0,,,1864,2,2
1864-03-03,1864,7.1,,,1864,2,3
1864-03-04,1864,9.1,,,1864,2,4
1864-03-05,1864,10.6,,,1864,2,5
1864-03-06,1864,9.4,,,1864,2,6
1864-03-07,1864,12.2,,,1864,2,7
1864-03-08,1864,10.9,,,1864,2,8
1864-03-09,1864,9.1,,,1864,2,9
1864-03-10,1864,5.7,,,1864,2,10
1864-03-11,1864,5.7,,,1864,2,11
1864-03-12,1864,7.0,,,1864,2,12
1864-03-13,1864,4.0,,,1864,2,13
1864-03-14,1864,5.1,,,1864,2,14
1864-03-15,1864,8.1,,,1864,2,15
1864-03-16,1864,5.9,,,1864,2,16
1864-03-17,1864,3.9,,,1864,2,17
1864-03-18,1864,5.4,,,1864,2,18
1864-03-19,1864,6.7,,,1864,2,19
1864-03-20,1864,8.6,,,1864,2,20
1864-03-21,1864,8.9,,,1864,2,21
1864-03-22,1864,8.3,,,1864,2,22
1864-03-23,1864,7.0,,,1864,2,23
1864-03-24,1864,5.9,,,1864,2,24
1864-03-25,1864,7.4,,,1864,2,25
1864-03-26,1864,7.2,,,1864,2,26
1864-03-27,1864,7.4,,,1864,2,27
1864-03-28,1864,4.9,,,1864,2,28
1864-03-29,1864,3.5,,,1864,2,29
1864-03-30,1864,4.0,,,1864,2,30
1864-03-31,1864,6.3,,,1864,2,31
1864-04-01,1864,7.8,,,1864,2,32
1864-04-02,1864,5.3,,,1864,2,33
1864-04-03,1864,6.2,,,1864,2,34
1864-04-04,1864,8.8,,,1864,2,35
1864-04-05,1864,6.6,,,1864,2,36
1864-04-06,1864,4.1,,,1864,2,37
1864-04-07,1864,2.8,,,1864,2,38
1864-04-08,1864,1.4,,,1864,2,39
1864-04-09,1864,4.0,,,1864,2,40
1864-04-10,1864,6.3,,,1864,2,41
1864-04-11,1864,8.6,,,1864,2,42
1864-04-12,1864,11.0,,,1864,2,43
1864-04-13,1864,10.0,,,1864,2,44
1864-04-14,1864,9.2,,,1864,2,45
1864-04-15,1864,11.7,,,1864,2,46
1864-04-16,1864,10.4,,,1864,2,47
1864-04-17,1864,7.9,,,1864,2,48
1864-04-18,1864,8.1,,,1864,2,49
1864-04-19,1864,11.3,,,1864,2,50
1864-04-20,1864,12.0,,,1864,2,51
1864-04-21,1864,10.3,,,1864,2,52
1864-04-22,1864,10.0,,,1864,2,53
1864-04-23,1864,11.1,,,1864,2,54
1864-04-24,1864,12.9,,,1864,2,55
1864-04-25,1864,14.0,,,1864,2,56
1864-04-26,1864,16.2,,,1864,2,57
1864-04-27,1864,15.1,,,1864,2,58
1864-04-28,1864,11.9,,,1864,2,59
1864-04-29,1864,9.5,,,1864,2,60
1864-04-30,1864,9.8,,,1864,2,61
1864-05-01,1864,10.0,,,1864,2,62
1864-05-02,1864,9.4,,,1864,2,63
1864-05-03,1864,11.1,,,1864,2,64
1864-05-04,1864,7.0,,,1864,2,65
1864-05-05,1864,8.0,,,1864,2,66
1864-05-06,1864,12.0,,,1864,2,67
1864-05-07,1864,15.6,,,1864,2,68
1864-05-08,1864,16.1,,,1864,2,69
1864-05-09,1864,16.4,,,1864,2,70
1864-05-10,1864,14.6,,,1864,2,71
1864-05-11,1864,14.2,,,1864,2,72
